10
1 2 3 4 5 6 7 8 9 10
1 0.0 28.0 41.0 31.0 61.0 32.0 21.0 42.0 8.0 56.0
2 28.0 0.0 41.0 35.0 61.0 52.0 35.0 15.0 35.0 30.0
3 41.0 41.0 0.0 9.0 21.0 32.0 22.0 44.0 40.0 47.0
4 31.0 35.0 9.0 0.0 30.0 27.0 13.0 40.0 31.0 47.0
5 61.0 61.0 21.0 30.0 0.0 45.0 41.0 61.0 60.0 60.0
6 32.0 52.0 32.0 27.0 45.0 0.0 17.0 63.0 25.0 72.0
7 21.0 35.0 22.0 13.0 41.0 17.0 0.0 45.0 19.0 55.0
8 42.0 15.0 44.0 40.0 61.0 63.0 45.0 0.0 49.0 16.0
9 8.0 35.0 40.0 31.0 60.0 25.0 19.0 49.0 0.0 62.0
10 56.0 30.0 47.0 47.0 60.0 72.0 55.0 16.0 62.0 0.0
